Block,District,Ward,Beat,location_id
004XX E 103RD ST,5,9,511,595
075XX S KENWOOD AVE,4,5,411,596
017XX N ST LOUIS AVE,14,26,1422,597
108XX S CALUMET AVE,5,9,513,598
008XX S PLYMOUTH CT,1,2,123,599
091XX S WENTWORTH AVE,6,21,634,600
087XX S UNION AVE,22,21,2223,601
006XX W 115TH ST,5,34,524,602
072XX S UNION AVE,7,6,732,603
043XX S LAKE PARK AVE,2,4,222,604
007XX E 44TH ST,2,4,221,605
078XX S COLFAX AVE,4,7,421,606
105XX S RHODES AVE,5,9,512,607
007XX S KEDZIE AVE,11,24,1134,608
005XX S KOSTNER AVE,11,24,1131,609
086XX S HALSTED ST,6,21,622,610
039XX N BERNARD ST,17,35,1732,611
025XX N NARRAGANSETT AVE,25,36,2512,612
133XX S CARONDOLET AVE,4,10,433,613
013XX W 64TH ST,7,16,724,614
122XX S HALSTED ST,5,34,523,615
054XX N NATCHEZ AVE,16,45,1613,616
076XX S LAFLIN ST,6,17,612,617
009XX N PARKSIDE AVE,15,29,1511,618
003XX W 109TH ST,5,34,513,619
068XX S CORNELL AVE,3,5,332,620
027XX W CERMAK RD,10,28,1034,621
032XX N KILDARE AVE,17,31,1731,622
001XX S MICHIGAN AVE,1,42,112,623
044XX N NARRAGANSETT AVE,16,38,1622,624
071XX S LOWE AVE,7,6,732,625
020XX W CHICAGO AVE,12,1,1221,626
018XX S HARDING AVE,10,24,1014,627
003XX S WELLS ST,1,2,122,628
019XX W OAKDALE AVE,19,32,1931,629
033XX W WARREN BLVD,11,28,1123,630
006XX E 74TH ST,3,6,323,631
099XX S PARNELL AVE,22,9,2232,632
025XX W FLOURNOY ST,11,2,1135,633
040XX N MARINE DR,19,46,1915,634
128XX S PEORIA ST,5,34,523,635
068XX S WOLCOTT AVE,7,17,726,636
050XX W BELMONT AVE,25,30,2521,637
015XX W JONQUIL TER,24,49,2422,638
